grid,rho,tolerance,timer,run,time_s
64,10,1e-4,subFFTs,29,0.000766284
64,10,1e-4,subFFTs,30,0.000882505
64,10,1e-4,subFFTs,31,0.000772587
64,10,1e-4,subFFTs,32,0.000844778
64,10,1e-4,subFFTs,33,0.000819274
64,10,1e-4,subFFTs,34,0.00084353
64,10,1e-4,subFFTs,35,0.000776011
64,10,1e-4,subFFTs,36,0.000829162
64,10,1e-4,subFFTs,37,0.00076782
64,10,1e-4,subFFTs,38,0.000841866
64,10,1e-4,subFFTs,39,0.000762796
64,10,1e-4,subFFTs,40,0.000848906
64,10,1e-4,subFFTs,41,0.000800587
64,10,1e-4,subFFTs,42,0.000860841
64,10,1e-4,subFFTs,43,0.000790155
64,10,1e-4,subFFTs,44,0.000847241
64,10,1e-4,subFFTs,45,0.000769644
64,10,1e-4,subFFTs,46,0.000857481
64,10,1e-4,subFFTs,47,0.000771884
64,10,1e-4,subFFTs,48,0.000844906
64,10,1e-4,subFFTs,49,0.000773388
64,10,1e-4,deconvolutionNUFFT1,0,4.1151e-05
64,10,1e-4,deconvolutionNUFFT1,1,2.2079e-05
64,10,1e-4,deconvolutionNUFFT1,2,1.9968e-05
64,10,1e-4,deconvolutionNUFFT1,3,1.9647e-05
64,10,1e-4,deconvolutionNUFFT1,4,1.8688e-05
64,10,1e-4,deconvolutionNUFFT1,5,1.8943e-05
64,10,1e-4,deconvolutionNUFFT1,6,1.8815e-05
64,10,1e-4,deconvolutionNUFFT1,7,1.7663e-05
64,10,1e-4,deconvolutionNUFFT1,8,1.8463e-05
64,10,1e-4,deconvolutionNUFFT1,9,1.8271e-05
64,10,1e-4,deconvolutionNUFFT1,10,1.7504e-05
64,10,1e-4,deconvolutionNUFFT1,11,1.8048e-05
64,10,1e-4,deconvolutionNUFFT1,12,1.8112e-05
64,10,1e-4,deconvolutionNUFFT1,13,1.7664e-05
64,10,1e-4,deconvolutionNUFFT1,14,1.7856e-05
64,10,1e-4,deconvolutionNUFFT1,15,1.7695e-05
64,10,1e-4,deconvolutionNUFFT1,16,1.7311e-05
64,10,1e-4,deconvolutionNUFFT1,17,1.8047e-05
64,10,1e-4,deconvolutionNUFFT1,18,1.728e-05
64,10,1e-4,deconvolutionNUFFT1,19,1.8016e-05
64,10,1e-4,deconvolutionNUFFT1,20,1.7152e-05
64,10,1e-4,deconvolutionNUFFT1,21,1.7087e-05
64,10,1e-4,deconvolutionNUFFT1,22,1.7567e-05
64,10,1e-4,deconvolutionNUFFT1,23,1.7248e-05
64,10,1e-4,deconvolutionNUFFT1,24,1.7567e-05
64,10,1e-4,NativeNUFFT2,0,0.005369171
64,10,1e-4,NativeNUFFT2,1,0.002740312
64,10,1e-4,NativeNUFFT2,2,0.002772632
64,10,1e-4,NativeNUFFT2,3,0.002706969
64,10,1e-4,NativeNUFFT2,4,0.002712025
64,10,1e-4,NativeNUFFT2,5,0.00275964
64,10,1e-4,NativeNUFFT2,6,0.002713305
64,10,1e-4,NativeNUFFT2,7,0.00268025
64,10,1e-4,NativeNUFFT2,8,0.002597308
64,10,1e-4,NativeNUFFT2,9,0.002700793
64,10,1e-4,NativeNUFFT2,10,0.002737465
64,10,1e-4,NativeNUFFT2,11,0.002690394
64,10,1e-4,NativeNUFFT2,12,0.002659002
64,10,1e-4,NativeNUFFT2,13,0.002658843
64,10,1e-4,NativeNUFFT2,14,0.002643483
64,10,1e-4,NativeNUFFT2,15,0.002616956
64,10,1e-4,NativeNUFFT2,16,0.002693753
64,10,1e-4,NativeNUFFT2,17,0.002664442
64,10,1e-4,NativeNUFFT2,18,0.002684474
64,10,1e-4,NativeNUFFT2,19,0.002655739
64,10,1e-4,NativeNUFFT2,20,0.002693498
64,10,1e-4,NativeNUFFT2,21,0.002638331
64,10,1e-4,NativeNUFFT2,22,0.002654394
64,10,1e-4,NativeNUFFT2,23,0.002668442
64,10,1e-4,NativeNUFFT2,24,0.00268617
64,10,1e-4,PrecorrectionNUFFT2,0,4.0287e-05
64,10,1e-4,PrecorrectionNUFFT2,1,2.3552e-05
64,10,1e-4,PrecorrectionNUFFT2,2,1.9776e-05
64,10,1e-4,PrecorrectionNUFFT2,3,1.8303e-05
64,10,1e-4,PrecorrectionNUFFT2,4,1.808e-05
64,10,1e-4,PrecorrectionNUFFT2,5,1.7311e-05
64,10,1e-4,PrecorrectionNUFFT2,6,1.7535e-05
64,10,1e-4,PrecorrectionNUFFT2,7,1.8399e-05
64,10,1e-4,PrecorrectionNUFFT2,8,1.8975e-05
64,10,1e-4,PrecorrectionNUFFT2,9,1.7855e-05
64,10,1e-4,PrecorrectionNUFFT2,10,1.8016e-05
64,10,1e-4,PrecorrectionNUFFT2,11,1.8208e-05
64,10,1e-4,PrecorrectionNUFFT2,12,1.7888e-05
64,10,1e-4,PrecorrectionNUFFT2,13,1.7984e-05
64,10,1e-4,PrecorrectionNUFFT2,14,1.8784e-05
64,10,1e-4,PrecorrectionNUFFT2,15,1.8623e-05
64,10,1e-4,PrecorrectionNUFFT2,16,1.7535e-05
64,10,1e-4,PrecorrectionNUFFT2,17,1.8335e-05
64,10,1e-4,PrecorrectionNUFFT2,18,1.7376e-05
64,10,1e-4,PrecorrectionNUFFT2,19,1.7536e-05
