time, Ex_field_energy, Ex_max_norm
2.6500000000e+00 5.0074125770e+02 5.8340260754e+00
2.7000000000e+00 4.9925909141e+02 6.8445420713e+00
2.7500000000e+00 4.9669450953e+02 5.7068625325e+00
2.8000000000e+00 4.9235279978e+02 5.8387776549e+00
2.8500000000e+00 4.8989706766e+02 6.2026758350e+00
2.9000000000e+00 4.8997781009e+02 6.1197181752e+00
2.9500000000e+00 4.8697920906e+02 5.3061752108e+00
3.0000000000e+00 4.8251176511e+02 5.8002323471e+00
3.0500000000e+00 4.8205146196e+02 5.8932572189e+00
3.1000000000e+00 4.7885344707e+02 6.1397415524e+00
3.1500000000e+00 4.7796519587e+02 6.0715681147e+00
3.2000000000e+00 4.8293480630e+02 6.7125295728e+00
3.2500000000e+00 4.8315765563e+02 6.6658643086e+00
3.3000000000e+00 4.8061281324e+02 7.7798795690e+00
3.3500000000e+00 4.8041083404e+02 5.6338314453e+00
3.4000000000e+00 4.7824650043e+02 6.4753487279e+00
3.4500000000e+00 4.7679937714e+02 5.5494492250e+00
3.5000000000e+00 4.7923746632e+02 6.0088993735e+00
3.5500000000e+00 4.8154603991e+02 6.3124960691e+00
3.6000000000e+00 4.8127927298e+02 6.0788660032e+00
3.6500000000e+00 4.7929212480e+02 6.9075698412e+00
3.7000000000e+00 4.8225185326e+02 6.3502769091e+00
3.7500000000e+00 4.8325856580e+02 5.5247133939e+00
3.8000000000e+00 4.8360563249e+02 6.7493726708e+00
3.8500000000e+00 4.8147062042e+02 6.4439771074e+00
3.9000000000e+00 4.8220914909e+02 8.2235734842e+00
3.9500000000e+00 4.8455836046e+02 7.1440212154e+00
4.0000000000e+00 4.8012288097e+02 5.6180071648e+00
4.0500000000e+00 4.8150274505e+02 6.6426040410e+00
4.1000000000e+00 4.7938878967e+02 6.6259095732e+00
4.1500000000e+00 4.7746317829e+02 6.8396100023e+00
4.2000000000e+00 4.7630205728e+02 5.5823005485e+00
4.2500000000e+00 4.7707906846e+02 6.4428644930e+00
4.3000000000e+00 4.7994099293e+02 7.1864571973e+00
4.3500000000e+00 4.8128194719e+02 5.6553491992e+00
4.4000000000e+00 4.8218071095e+02 6.0710109059e+00
4.4500000000e+00 4.8322210636e+02 6.7210032916e+00
4.5000000000e+00 4.8590697005e+02 5.9360367147e+00
4.5500000000e+00 4.8442151307e+02 6.1046001566e+00
4.6000000000e+00 4.8113990776e+02 6.4835371369e+00
4.6500000000e+00 4.8022439439e+02 6.2245771565e+00
4.7000000000e+00 4.8063982310e+02 5.6902844307e+00
4.7500000000e+00 4.8140843623e+02 5.2955371273e+00
4.8000000000e+00 4.8137268516e+02 6.5683589231e+00
4.8500000000e+00 4.7820388022e+02 5.9215055234e+00
4.9000000000e+00 4.8113070979e+02 6.6563989655e+00
