time,residue,iterations
0.65,5.91684e-07,203
0.7,5.88605e-07,203
0.75,5.89833e-07,203
0.8,5.89596e-07,203
0.85,5.88701e-07,203
0.9,5.86993e-07,203
0.95,5.83522e-07,203
1,5.78515e-07,203
1.05,5.72669e-07,203
1.1,5.65239e-07,203
1.15,5.515e-07,203
1.2,5.48963e-07,203
1.25,5.41235e-07,203
1.3,5.34916e-07,203
1.35,5.34679e-07,203
1.4,5.43533e-07,203
1.45,5.5156e-07,203
1.5,5.65326e-07,203
1.55,5.86412e-07,203
1.6,5.92943e-07,203
1.65,6.11198e-07,203
1.7,5.22691e-07,204
1.75,5.29019e-07,204
1.8,5.26742e-07,204
1.85,6.06835e-07,203
1.9,5.93447e-07,203
1.95,5.79902e-07,203
2,5.68968e-07,203
2.05,5.61568e-07,203
2.1,5.55768e-07,203
2.15,5.61965e-07,203
2.2,5.61346e-07,203
2.25,5.59419e-07,203
2.3,5.67874e-07,203
2.35,5.68072e-07,203
2.4,5.67433e-07,203
2.45,5.61341e-07,203
2.5,5.56327e-07,203
2.55,5.50536e-07,203
2.6,5.40901e-07,203
2.65,5.42052e-07,203
2.7,5.42781e-07,203
2.75,5.43617e-07,203
2.8,5.47956e-07,203
2.85,5.52057e-07,203
2.9,5.65239e-07,203
2.95,5.74105e-07,203
3,5.78986e-07,203
3.05,5.83628e-07,203
3.1,5.82945e-07,203
3.15,5.79882e-07,203
3.2,5.71679e-07,203
3.25,5.70118e-07,203
3.3,5.68076e-07,203
3.35,5.6907e-07,203
3.4,5.65699e-07,203
3.45,5.68629e-07,203
3.5,5.64205e-07,203
3.55,5.67096e-07,203
3.6,5.65441e-07,203
3.65,5.64837e-07,203
3.7,5.73646e-07,203
3.75,5.74924e-07,203
3.8,5.82641e-07,203
3.85,5.78719e-07,203
3.9,5.7816e-07,203
3.95,5.72862e-07,203
4,5.70114e-07,203
4.05,5.73488e-07,203
4.1,5.69081e-07,203
4.15,5.6446e-07,203
4.2,5.66218e-07,203
4.25,5.65962e-07,203
4.3,5.63573e-07,203
4.35,5.69596e-07,203
4.4,5.65822e-07,203
4.45,5.72778e-07,203
4.5,5.7791e-07,203
time,residue,iterations
0,5.98704e-07,212
0,5.53031e-07,203
0.05,5.55277e-07,203
0.1,5.50873e-07,203
0.15,6.78991e-07,202
0.2,6.74051e-07,202
0.25,6.74559e-07,202
0.3,6.80967e-07,202
0.35,6.83061e-07,202
0.4,5.57435e-07,203
0.45,5.63441e-07,203
0.5,5.69445e-07,203
0.55,5.80267e-07,203
0.6,5.87693e-07,203
0.65,5.91684e-07,203
0.7,5.88605e-07,203
0.75,5.89833e-07,203
0.8,5.89596e-07,203
0.85,5.88701e-07,203
0.9,5.86993e-07,203
0.95,5.83522e-07,203
1,5.78515e-07,203
1.05,5.72669e-07,203
1.1,5.65239e-07,203
1.15,5.515e-07,203
1.2,5.48963e-07,203
1.25,5.41235e-07,203
1.3,5.34916e-07,203
1.35,5.34679e-07,203
1.4,5.43533e-07,203
1.45,5.5156e-07,203
1.5,5.65326e-07,203
1.55,5.86412e-07,203
1.6,5.92943e-07,203
1.65,6.11198e-07,203
1.7,5.22691e-07,204
1.75,5.29019e-07,204
1.8,5.26742e-07,204
1.85,6.06835e-07,203
1.9,5.93447e-07,203
1.95,5.79902e-07,203
2,5.68968e-07,203
2.05,5.61568e-07,203
2.1,5.55768e-07,203
2.15,5.61965e-07,203
2.2,5.61346e-07,203
2.25,5.59419e-07,203
2.3,5.67874e-07,203
2.35,5.68072e-07,203
2.4,5.67433e-07,203
time,residue,iterations
0,9.35786e-11,253
0,9.43941e-11,240
0.05,9.31317e-11,240
0.1,8.98256e-11,240
0.15,8.63433e-11,240
0.2,8.41369e-11,240
0.25,9.87507e-11,239
0.3,8.40836e-11,240
0.35,9.96268e-11,239
0.4,8.8333e-11,240
0.45,9.06367e-11,240
0.5,9.40326e-11,240
0.55,9.88419e-11,240
0.6,8.53591e-11,241
0.65,8.65735e-11,241
0.7,8.59745e-11,241
0.75,8.74696e-11,241
0.8,8.8695e-11,241
0.85,8.76405e-11,241
0.9,8.71194e-11,241
0.95,8.59051e-11,241
1,9.97381e-11,240
1.05,9.92469e-11,240
1.1,9.7295e-11,240
1.15,9.59341e-11,240
1.2,9.58128e-11,240
1.25,9.47246e-11,240
1.3,9.462e-11,240
1.35,9.37474e-11,240
1.4,9.32553e-11,240
1.45,9.29828e-11,240
1.5,9.45235e-11,240
1.55,9.52619e-11,240
1.6,9.56858e-11,240
1.65,9.61528e-11,240
1.7,9.80725e-11,240
1.75,8.50326e-11,241
1.8,8.62792e-11,241
1.85,8.94788e-11,241
1.9,8.92143e-11,241
1.95,9.0067e-11,241
2,9.13047e-11,241
2.05,9.0741e-11,241
2.1,8.88303e-11,241
2.15,8.82723e-11,241
2.2,8.59543e-11,241
2.25,9.95969e-11,240
2.3,9.66739e-11,240
2.35,9.43989e-11,240
2.4,9.47293e-11,240
2.45,9.21369e-11,240
2.5,9.04143e-11,240
2.55,9.05985e-11,240
2.6,8.7328e-11,240
2.65,8.49218e-11,240
2.7,9.97777e-11,239
2.75,9.93947e-11,239
